level_0,ObjID,FieldID,FieldMJD,AstRange(km),AstRangeRate(km/s),AstRA(deg),AstRARate(deg/day),AstDec(deg),AstDecRate(deg/day),Ast-Sun(J2000x)(km),Ast-Sun(J2000y)(km),Ast-Sun(J2000z)(km),Ast-Sun(J2000vx)(km/s),Ast-Sun(J2000vy)(km/s),Ast-Sun(J2000vz)(km/s),Obs-Sun(J2000x)(km),Obs-Sun(J2000y)(km),Obs-Sun(J2000z)(km),Obs-Sun(J2000vx)(km/s),Obs-Sun(J2000vy)(km/s),Obs-Sun(J2000vz)(km/s),Sun-Ast-Obs(deg),V(H=0,r,u-r,g-r,i-r,z-r,y-r,GS,FORMAT,q,e,incl,node,argperi,t_p,H,t_0,optFilter,seeingFwhmGeom,seeingFwhmEff,fiveSigmaDepth,fieldRA,fieldDec,rotSkyPos,MagnitudeInFilter,detectorID,detection_probability,AstrometricSigma(mas),PhotometricSigma(mag),SNR,AstrometricSigma(deg),dmagDetect,dmagVignet,AstRATrue(deg),AstDecTrue(deg),counter
62,S1000000a,915266,61800.354632,340641615.578,-16.066,163.5447151232745,-0.101013,-19.394456509809213,-0.002966,-402038102.736,195229393.845,-67945859.126,-6.952,-15.949,-2.455,-93886852.683,104212354.585,45170955.106,-23.408,-17.926,-7.598,14.115601,4.991,19.1948012038419,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.7715105052224386,0.8753169163290007,23.764541080701463,164.15684092068437,-20.943446580487446,224.5144422410176,19.194437858733004,4.0,1.0,10.248462070670561,0.0052481621161323206,206.37972184376943,2.846795019630711e-06,0.0,0.07748801474777864,163.544715,-19.394457,29
63,S1000000a,915268,61800.355537,340640360.274,-16.064,163.54462102243122,-0.101004,-19.394459281913917,-0.002952,-402038645.959,195228147.512,-67946050.974,-6.952,-15.949,-2.455,-93888681.663,104210953.847,45170361.417,-23.405,-17.926,-7.598,14.115417,4.991,19.194786747441203,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.7802094244715823,0.8858995431527764,23.74148607987768,162.0635721181383,-18.898355290119376,222.32049459163542,19.192718894298455,166.0,1.0,10.26142179246185,0.005324788195896803,203.4026419483532,2.8503949423505136e-06,0.0,0.04675488623370999,163.544624,-19.394459,29
68,S1000000a,922013,61809.362743,329177100.307,-12.949,162.50835120111788,-0.138492,-19.25355540527178,0.036579,-407273139.212,182732286.397,-69826807.646,-6.499,-16.161,-2.378,-110876961.03,89326431.559,38719096.479,-20.007,-21.02,-8.944,12.212626,4.846,19.052625416794776,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.9808813277528884,1.130025946171397,23.426276209365984,160.93171111468712,-20.147226851837367,174.90119289771312,19.052977408318807,28.0,1.0,10.5094880695277,0.005947179448330891,182.06367221745887,2.919302241535472e-06,0.0,0.09504737507543605,162.508354,-19.253558,30
69,S1000000a,922034,61809.373976,329164544.593,-12.924,162.50680522024072,-0.13826,-19.253146512804353,0.036743,-407279446.966,182716600.604,-69829115.502,-6.499,-16.161,-2.378,-110896364.177,89306033.075,38710414.727,-19.976,-21.014,-8.946,12.210115,4.845,19.0524514801157,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,z,0.9128467518462221,1.0472588221973504,22.807646596065005,163.41626162138223,-18.408163811962915,173.07705003168303,19.062734903076155,151.0,1.0,11.001318193569732,0.009052587902414576,119.43724957988206,3.0559217204360367e-06,0.0,0.018949561316689643,162.5068,-19.253146,30
70,S1000000a,922035,61809.374422,329164046.4,-12.923,162.50673313665732,-0.13825,-19.253133838251415,0.03675,-407279697.493,182715977.574,-69829207.166,-6.499,-16.161,-2.378,-110897134.227,89305222.993,38710069.863,-19.975,-21.014,-8.946,12.210015,4.845,19.052444565219638,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,z,0.9760869487946443,1.1241933683633143,22.71542264801432,160.93171111468712,-20.147226851837367,175.62557100548693,19.052103238675734,28.0,0.9999999999999998,11.28953522276546,0.009670495424378306,111.77381172430054,3.1359820063237392e-06,0.0,0.09476180636800369,162.506738,-19.25313,30
71,S1000000a,926281,61816.288202,322080748.497,-10.399,161.5054353429531,-0.161608,-18.90003245258459,0.067322,-411056897.474,173015644.884,-71231492.432,-6.147,-16.314,-2.317,-122078502.793,76355314.929,33096236.057,-17.287,-23.078,-9.829,10.684486,4.739,18.94877163713084,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.7676342789427417,0.8706013125824108,23.301090212950605,162.29786215320007,-17.569190178603098,275.14880157431753,18.942384949319955,63.0,1.0,10.323750818340955,0.006030030564550528,179.55530551868995,2.867708560650265e-06,0.0,0.054274108133393395,161.505438,-18.900032,31
72,S1000000a,926288,61816.291431,322077848.655,-10.39,161.50491761127455,-0.161579,-18.899815728012367,0.067376,-411058612.396,173011093.307,-71232138.837,-6.147,-16.314,-2.317,-122083324.277,76348876.346,33093493.785,-17.277,-23.079,-9.83,10.683773,4.739,18.94872513672514,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.7575749310954711,0.8583636631331766,23.332780551103248,160.00009721234704,-19.589706572852528,284.3766960154032,18.941849281985533,177.0,1.0,10.302891147934751,0.0059072821713023055,183.2966854532512,2.8619142077596535e-06,0.0,0.06322398465272566,161.504917,-18.899814,31
73,S1000000a,926399,61816.343318,322031572.803,-10.258,161.49655327182973,-0.160768,-18.89629769187513,0.068201,-411086163.242,172937951.14,-71242524.858,-6.144,-16.315,-2.316,-122160436.435,76245405.3,33049412.564,-17.125,-23.075,-9.836,10.672304,4.738,18.947979542483356,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,z,0.9943134762142688,1.1463667593847553,22.553912174298375,162.29786215320007,-17.569190178603098,291.7789651038723,18.94015080014616,26.0,0.9999999999999998,11.44341313228189,0.01007801185952001,107.23394746749355,3.178725870078303e-06,0.0,0.054430985321236275,161.496551,-18.896296,31
74,S1000000a,927128,61817.314909,321167899.199,-9.913,161.34441459337881,-0.163819,-18.829058838047164,0.072344,-411599860.303,171567430.74,-71436621.825,-6.094,-16.336,-2.308,-123590644.15,74330444.267,32218950.848,-16.767,-23.351,-9.95,10.461615,4.724,18.934151808479427,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.7372892475465761,0.8336852159934016,23.526824253474633,160.50626979417703,-18.65539328594848,202.40806348391064,18.936667661266213,127.0,1.0,10.220764922064788,0.005173255541873442,209.3752420158946,2.839101367240219e-06,0.0,0.0031957398367651567,161.344413,-18.829058,33
75,S1000000a,927177,61817.338454,321147792.866,-9.855,161.340561644305,-0.163377,-18.827352055217077,0.072708,-411612257.113,171534196.651,-71441316.46,-6.093,-16.337,-2.308,-123624682.475,74282947.042,32198707.495,-16.698,-23.344,-9.953,10.456464,4.723,18.933819690534484,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,z,1.1318633581004698,1.31370238211736,22.510886071520247,160.50626979417703,-18.65539328594848,205.93169603549956,18.92865848680638,127.0,0.9999999999999998,11.909538483978217,0.01029200206924489,104.99398722510635,3.3082051344383935e-06,0.0,0.0030224692169495337,161.340561,-18.82735,33
76,S1000000a,928292,61822.118342,317401775.415,-8.284,160.56146874396245,-0.172945,-18.433758452221266,0.09179,-414078040.095,164766411.055,-72385491.036,-5.848,-16.437,-2.265,-130126090.032,64556410.471,27979500.127,-15.005,-24.361,-10.467,9.465221,4.657,18.869854594451418,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.9961881962663184,1.1486474407132827,23.88364774729595,160.09160087393815,-20.06392652621201,71.95166933430653,18.86893410933319,113.0,1.0,10.24138026043766,0.004007751808707955,270.40935002725837,2.8448278501215724e-06,0.0,0.0846347887052571,160.561463,-18.433758,34
77,S1000000a,928656,61822.290643,317281855.911,-7.818,160.5314577731399,-0.174093,-18.41770185536489,0.094601,-414165027.991,164521685.278,-72419194.199,-5.839,-16.44,-2.263,-130346366.289,64191546.17,27823536.854,-14.554,-24.588,-10.486,9.431254,4.655,18.86768651011223,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.7425101382301379,0.8400366645135497,24.26992152036519,160.09160087393815,-20.06392652621201,198.05557699477978,18.867768817061894,3.0,1.0,10.086587945046908,0.003209301100869845,337.8094827058454,2.801829984735252e-06,0.0,0.0861764283534306,160.531457,-18.417704,34
78,S1000000a,928658,61822.291543,317281248.251,-7.815,160.5312980324744,-0.174079,-18.417616493306124,0.094615,-414165481.913,164520407.131,-72419370.143,-5.839,-16.44,-2.263,-130347497.655,64189634.603,27822721.665,-14.551,-24.589,-10.486,9.431076,4.655,18.86767528481589,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.7847421512415306,0.8914138092962659,24.18766550925863,159.9472421643655,-17.200430510539324,193.26022399965618,18.874789964077703,174.0,1.0,10.10596828765696,0.0033606573852527585,322.57282389759604,2.807213413238045e-06,0.0,0.029622576731325245,160.5313,-18.417619,34
79,S1000000a,929528,61823.316389,316595826.604,-7.305,160.35815697998714,-0.174986,-18.31914553840714,0.099424,-414680146.46,163063699.289,-72619354.551,-5.786,-16.461,-2.254,-131617629.83,62036670.631,26889776.701,-14.006,-24.808,-10.586,9.233942,4.642,18.855114820544625,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.6726050037112623,0.7549939217898568,24.352302828128693,160.45056219969484,-19.54007153330422,208.37018572615347,18.858395180528056,8.0,1.0,10.06401703639774,0.0030448128048929293,356.08576927291415,2.795560287888261e-06,0.0,0.02040480283525298,160.358157,-18.319145,36
80,S1000000a,929578,61823.34066,316580567.202,-7.249,160.35391741273725,-0.174387,-18.31672956202775,0.099768,-414692278.379,163029177.887,-72624080.797,-5.784,-16.462,-2.254,-131646928.139,61984660.717,26867574.171,-13.937,-24.794,-10.589,9.229304,4.642,18.854824250403382,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,g,0.7549370287285855,0.8551545361661623,24.661500863340393,160.45056219969484,-19.54007153330422,210.13076483221144,18.858894320851146,8.0,1.0,10.057687516082643,0.002575304161843533,421.0955264174941,2.7938020878007344e-06,0.0,0.020601839242704898,160.353917,-18.316728,36
