ObjID,FieldMJD_TAI,fieldRA,fieldDec,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedPSFMag,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepth,fiveSigmaDepthAtSource
39265,60414.24607,181.6621325,-31.2405931,183.3197607,-30.702643,3e-06,i,17.812,17.802,0.004,0.004,22.756,22.703
632,60423.97917,138.00241,10.3128357,137.025411,10.8401129,2.85e-05,z,22.77,23.067,0.237,0.237,22.763,22.75
39265,60424.1689,182.4994442,-29.2493868,181.2427696,-29.5920094,3e-06,y,17.972,17.938,0.009,0.009,21.769,21.754
39265,60424.19153,182.4994442,-29.2493868,181.2383474,-29.5893193,3.2e-06,y,17.953,17.949,0.01,0.01,21.548,21.533
39265,60424.21671,182.4994442,-29.2493868,181.2334444,-29.5863307,3e-06,i,17.888,17.898,0.007,0.007,22.084,22.069
39265,60424.24052,182.4994442,-29.2493868,181.2288103,-29.5834849,3.1e-06,z,17.956,17.933,0.008,0.008,21.931,21.916
39265,60425.04509,181.3900564,-28.9727969,181.0770065,-29.4884341,2.8e-06,z,17.98,17.949,0.005,0.005,22.651,22.651
39265,60425.06905,181.3900564,-28.9727969,181.0723994,-29.4856088,2.8e-06,y,17.975,17.953,0.006,0.006,22.259,22.259
632,60426.96975,136.7340669,12.2432215,137.1521233,10.8475097,2.27e-05,r,23.077,23.149,0.133,0.133,23.621,23.579
632,60426.97064,137.6919103,9.2401203,137.1521416,10.8474952,2.4e-05,r,23.055,23.158,0.136,0.136,23.638,23.552
632,60426.98146,137.6919103,9.2401203,137.1526434,10.8474941,2.59e-05,i,22.631,23.15,0.158,0.158,23.348,23.263
39265,60427.22316,181.6882319,-29.3941104,180.6761729,-29.2283578,2.9e-06,z,17.989,17.993,0.006,0.006,22.427,22.422
39265,60431.00252,181.5037149,-28.7645167,180.0295879,-28.7708069,2.9e-06,g,18.819,18.81,0.003,0.003,24.149,24.123
39265,60431.00297,177.9221851,-28.8203012,180.029513,-28.7707535,2.8e-06,g,18.819,18.808,0.004,0.004,24.325,23.968
39265,60431.04737,181.5037149,-28.7645167,180.0220938,-28.7653754,2.8e-06,r,18.174,18.161,0.003,0.003,23.848,23.822
632,60432.96547,138.1759203,10.3996733,137.4652828,10.8432916,1.47e-05,r,23.519,23.052,0.108,0.108,23.861,23.858
632,60432.97628,138.1759203,10.3996733,137.4659087,10.8432457,1.12e-05,i,23.029,23.033,0.104,0.104,23.8,23.797
387449,60434.17898,200.8476207,8.3288768,199.9348938,8.9403036,3.02e-05,r,23.684,23.667,0.179,0.179,23.813,23.801
632,60435.95823,136.7133685,10.5177289,137.6504748,10.8316953,1.94e-05,r,22.881,23.168,0.137,0.137,23.608,23.6
632,60435.96899,136.7133685,10.5177289,137.6511789,10.8316023,1.61e-05,i,23.043,23.035,0.127,0.127,23.584,23.576
39265,60436.11464,178.1673749,-27.4232305,179.2527252,-28.1462632,2.8e-06,r,18.243,18.227,0.002,0.002,24.397,24.379
39265,60436.13886,178.1673749,-27.4232305,179.2492326,-28.1432941,2.8e-06,i,18.049,18.038,0.003,0.002,23.946,23.928
632,60437.02316,138.9314847,10.5647336,137.7208276,10.8259823,1.88e-05,r,23.315,23.191,0.12,0.12,23.777,23.757
632,60437.04691,138.9314847,10.5647336,137.7223649,10.8258515,2.98e-05,i,22.901,23.224,0.177,0.177,23.207,23.187
39265,60452.12449,176.4481133,-25.0336079,177.6061376,-26.2636686,2.9e-06,z,18.286,18.278,0.007,0.007,22.517,22.447
39265,60452.14836,176.4481133,-25.0336079,177.6045064,-26.2610089,3.1e-06,y,18.306,18.271,0.011,0.011,21.809,21.739
39265,60461.07346,178.4695629,-25.9864001,177.2011037,-25.3317118,2.8e-06,i,18.344,18.335,0.004,0.004,23.445,23.418
39265,60461.0977,178.4695629,-25.9864001,177.2004188,-25.3293284,2.9e-06,z,18.402,18.4,0.006,0.006,22.856,22.828
39265,60490.0357,178.5100284,-24.1976256,178.1202635,-23.2525556,2.9e-06,z,18.683,18.683,0.006,0.006,23.068,23.059
39265,60490.05986,178.5100284,-24.1976256,178.1221909,-23.2514627,2.8e-06,i,18.639,18.639,0.004,0.004,23.491,23.481
39265,60490.9946,177.6348378,-22.2110496,178.2009238,-23.2106413,2.8e-06,r,18.836,18.834,0.003,0.003,24.192,24.178
39262,60491.43881,3.9832148,-11.6468338,4.5102529,-10.3021092,2.8e-06,i,17.389,17.385,0.002,0.002,23.521,23.481
39262,60502.41493,3.8785381,-11.9503538,4.9070141,-10.9781421,2.8e-06,r,17.441,17.441,0.002,0.002,23.88,23.845
39262,60502.42626,3.8785381,-11.9503538,4.9071347,-10.9789546,2.8e-06,i,17.334,17.328,0.002,0.002,23.392,23.356
39262,60505.43095,6.5462835,-12.0221883,4.9328701,-11.2021595,2.8e-06,i,17.31,17.311,0.002,0.002,23.381,23.234
39262,60505.4314,3.9708372,-10.5273258,4.9328665,-11.2021948,2.8e-06,i,17.313,17.31,0.002,0.002,23.432,23.416
39262,60505.44433,3.9708372,-10.5273258,4.9328589,-11.2031914,2.8e-06,z,17.3,17.304,0.003,0.003,22.577,22.561
39265,60509.9943,181.8585333,-23.5909222,180.3263163,-22.7302735,5.8e-06,z,18.81,18.812,0.018,0.018,21.779,21.701
39265,60509.9952,178.4395727,-23.28908,180.3264373,-22.7302646,7e-06,z,18.826,18.876,0.022,0.022,21.72,21.448
39265,60509.99609,180.7800431,-21.0193768,180.3265765,-22.730246,6.2e-06,z,18.833,18.845,0.019,0.019,21.733,21.62
39265,60510.01843,181.8585333,-23.5909222,180.3295458,-22.7300459,7.1e-06,y,18.782,18.837,0.028,0.028,21.22,21.144
39265,60510.01933,178.4395727,-23.28908,180.3296813,-22.7300428,9.1e-06,y,18.802,18.843,0.036,0.036,21.126,20.843
39265,60510.02023,180.7800431,-21.0193768,180.3297734,-22.7300313,7.8e-06,y,18.821,18.87,0.03,0.03,21.15,21.038
39262,60512.34825,4.7291085,-11.6808233,4.8544523,-11.7741125,3.4e-06,z,17.266,17.268,0.006,0.006,21.6,21.6
39262,60512.37253,4.7291085,-11.6808233,4.853746,-11.7762626,3.5e-06,y,17.256,17.271,0.008,0.008,21.159,21.159
39262,60529.35033,3.980073,-12.867694,3.8414089,-13.4736182,2.8e-06,r,17.261,17.254,0.002,0.002,24.028,24.028
