ObjID,FieldMJD_TAI,fieldRA,fieldDec,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedPSFMag,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepth,fiveSigmaDepthAtSource
39265,60377.36057,192.8842668,-33.5905256,192.2296038,-32.7800511,2.8e-06,r,18.147,18.139,0.003,0.003,23.995,23.987
39265,60381.33992,192.8817522,-32.219521,191.3328289,-32.7561952,2.8e-06,r,18.122,18.099,0.002,0.002,24.428,24.391
39265,60381.36238,192.8817522,-32.219521,191.3275536,-32.7558881,2.8e-06,i,17.934,17.91,0.002,0.002,23.902,23.865
39265,60387.30118,189.3286377,-33.5336428,189.9155755,-32.6246551,2.8e-06,z,17.939,17.903,0.003,0.003,23.337,23.327
39265,60387.32523,189.3286377,-33.5336428,189.909614,-32.6238636,2.8e-06,i,17.867,17.86,0.003,0.003,23.48,23.47
39265,60397.34108,186.1196704,-31.8560311,187.416411,-32.1469369,2.8e-06,z,17.876,17.843,0.005,0.005,22.586,22.572
39265,60398.32359,186.4026034,-30.9279057,187.1695947,-32.0836372,3.2e-06,z,17.854,17.854,0.007,0.007,21.96,21.932
39265,60402.27963,187.5349786,-32.4817212,186.180015,-31.8006051,2.8e-06,z,17.865,17.825,0.003,0.003,23.313,23.283
39265,60403.2865,187.334917,-30.7222495,185.9300336,-31.7216074,2.8e-06,i,17.799,17.781,0.003,0.003,23.679,23.619
39265,60406.0597,185.645687,-30.2346361,185.2489388,-31.4902729,2.8e-06,r,17.995,17.965,0.002,0.002,24.317,24.29
39265,60407.2205,185.4166348,-30.6409676,184.9661825,-31.3877561,2.8e-06,g,18.646,18.62,0.002,0.002,24.81,24.807
39265,60407.24474,185.4166348,-30.6409676,184.9602239,-31.3855581,2.8e-06,r,17.995,17.971,0.002,0.002,24.258,24.255
39265,60407.27341,185.4166348,-30.6409676,184.9531772,-31.3829491,2.8e-06,r,17.997,17.97,0.002,0.002,24.335,24.331
39265,60407.29728,185.4166348,-30.6409676,184.947316,-31.380767,2.8e-06,i,17.809,17.778,0.002,0.002,23.744,23.74
39265,60408.11825,183.5202571,-31.2328893,184.7501531,-31.3062019,2.8e-06,r,17.988,17.973,0.002,0.002,24.147,24.136
39265,60411.22259,183.7822018,-31.9683561,184.0138947,-31.0101136,2.8e-06,g,18.664,18.632,0.002,0.002,24.927,24.919
39265,60411.24676,183.7822018,-31.9683561,184.0081596,-31.0077012,2.8e-06,r,18.011,17.981,0.002,0.002,24.312,24.304
39265,60413.102,182.1016585,-29.847999,183.580082,-30.8210643,2.8e-06,r,18.018,17.99,0.002,0.002,24.397,24.329
39265,60414.22197,181.6621325,-31.2405931,183.3252014,-30.7051467,2.9e-06,r,18.004,17.997,0.003,0.003,23.376,23.323
39265,60414.24588,181.6621325,-31.2405931,183.3197211,-30.7026247,3e-06,i,17.815,17.803,0.004,0.004,22.756,22.703
39265,60424.21651,182.4994442,-29.2493868,181.2334019,-29.5863036,3e-06,i,17.901,17.878,0.007,0.007,22.084,22.069
39265,60424.24032,182.4994442,-29.2493868,181.2287708,-29.5834652,3.1e-06,z,17.96,17.949,0.008,0.008,21.931,21.916
39265,60425.04489,181.3900564,-28.9727969,181.0769691,-29.4884112,2.8e-06,z,17.972,17.959,0.005,0.005,22.651,22.651
39265,60427.22296,181.6882319,-29.3941104,180.676136,-29.2283314,2.9e-06,z,17.985,17.976,0.006,0.006,22.427,22.422
39265,60431.00232,181.5037149,-28.7645167,180.0295517,-28.7707846,2.9e-06,g,18.811,18.808,0.003,0.003,24.149,24.123
39265,60431.04718,181.5037149,-28.7645167,180.0220553,-28.7653548,2.8e-06,r,18.171,18.158,0.003,0.003,23.848,23.822
39265,60436.11444,178.1673749,-27.4232305,179.2527006,-28.1462408,2.8e-06,r,18.247,18.223,0.002,0.002,24.397,24.379
39265,60436.13866,178.1673749,-27.4232305,179.2492074,-28.1432668,2.8e-06,i,18.064,18.04,0.003,0.002,23.946,23.928
39265,60452.12429,176.4481133,-25.0336079,177.6061303,-26.2636522,2.9e-06,z,18.294,18.272,0.007,0.007,22.517,22.447
39265,60461.07326,178.4695629,-25.9864001,177.2011069,-25.3316871,2.8e-06,i,18.35,18.346,0.004,0.004,23.445,23.418
39265,60461.0975,178.4695629,-25.9864001,177.2004154,-25.3293084,2.9e-06,z,18.39,18.389,0.006,0.006,22.856,22.828
39265,60490.0355,178.5100284,-24.1976256,178.1202841,-23.2525535,2.9e-06,z,18.68,18.683,0.006,0.006,23.068,23.059
39265,60490.05966,178.5100284,-24.1976256,178.1222197,-23.2514573,2.8e-06,i,18.641,18.631,0.004,0.004,23.491,23.481
39265,60490.99441,177.6348378,-22.2110496,178.2009444,-23.2106309,2.8e-06,r,18.842,18.834,0.003,0.003,24.192,24.178
39265,60509.9941,181.8585333,-23.5909222,180.3263655,-22.7302621,5.8e-06,z,18.837,18.8,0.018,0.018,21.779,21.701
387449,60351.381,208.6576614,1.6301015,209.1800374,2.3625309,3.24e-05,i,23.893,23.704,0.247,0.247,23.64,23.635
387449,60359.35523,208.4228825,3.2913902,209.5785694,2.9264513,1.37e-05,r,24.012,23.744,0.132,0.131,24.413,24.394
387449,60377.29371,208.0727629,5.2920259,209.1115671,4.6019566,1.74e-05,r,23.662,23.51,0.134,0.133,24.138,24.116
387449,60378.30503,208.2165207,4.1568996,209.0294632,4.708348,1.5e-05,g,23.953,24.19,0.123,0.122,24.697,24.689
387449,60378.32888,208.2165207,4.1568996,209.0273187,4.7108501,1.57e-05,r,23.755,23.866,0.126,0.125,24.184,24.176
387449,60378.34833,208.2165207,4.1568996,209.0255884,4.7129024,1.54e-05,r,23.536,23.956,0.125,0.124,24.192,24.184
387449,60383.35121,208.6704424,4.8872052,208.5370146,5.2483875,3.81e-05,g,23.81,23.897,0.187,0.186,24.106,24.106
387449,60383.37916,208.6704424,4.8872052,208.5337412,5.251365,1.79e-05,r,23.742,23.214,0.134,0.133,24.036,24.036
387449,60400.23204,206.6164126,7.128562,206.0540309,7.0227835,2.43e-05,i,23.081,23.324,0.189,0.186,23.324,23.324
387449,60400.25582,206.6164126,7.128562,206.0497361,7.02512,3.21e-05,z,22.766,23.32,0.256,0.251,22.951,22.951
387449,60402.14827,205.0758992,5.9832784,205.7119928,7.2065079,1.71e-05,g,23.607,23.882,0.123,0.121,24.434,24.401
387449,60402.17159,206.1880626,8.5516011,205.7076605,7.2086698,2.01e-05,r,23.465,23.376,0.138,0.136,23.817,23.779
387449,60402.17204,205.0758992,5.9832784,205.7075789,7.208734,1.88e-05,r,23.438,23.227,0.133,0.131,23.863,23.83
387449,60402.23067,206.1880626,8.5516011,205.6965996,7.2142726,1.45e-05,i,23.14,23.179,0.136,0.133,23.756,23.718
387449,60406.2427,203.697998,7.108249,204.9546009,7.5774309,2.93e-05,g,23.809,23.673,0.152,0.151,24.14,24.111
387449,60410.26785,204.6843632,8.5256584,204.1886436,7.9080097,1.13e-05,r,23.323,23.237,0.097,0.095,24.198,24.195
387449,60410.29163,204.6843632,8.5256584,204.1839378,7.909827,1.5e-05,i,23.428,23.062,0.134,0.131,23.72,23.718
387449,60412.21618,202.1961898,7.8606109,203.8148903,8.0541167,1.28e-05,r,23.495,23.392,0.106,0.104,24.172,24.102
387449,60412.21842,205.1318972,8.585858,203.8144615,8.0542841,1.21e-05,r,23.229,23.202,0.102,0.1,24.191,24.154
387449,60412.24244,205.1318972,8.585858,203.8097199,8.056031,2.19e-05,i,23.321,23.042,0.158,0.156,23.546,23.51
