ObjID,fieldMJD_TAI,fieldRA_deg,fieldDec_deg,RA_deg,Dec_deg,astrometricSigma_deg,optFilter,trailedSourceMag,trailedSourceMagSigma,fiveSigmaDepth_mag,phase_deg,Range_LTC_km,RangeRate_LTC_km_s,Obj_Sun_LTC_km
2011_OB60,60230.18746404967,2.7692539237126224,-11.336818754683701,1.889019862394812,-11.93407283292134,5.050483097078664e-06,r,22.517086976512573,0.04084538486620374,24.36853718550262,0.6565144756512652,5385607480.301406,11.192619815752488,5521200541.258088
2010_TU149,60230.2013547434,15.887030292262942,2.610528423589063,16.29084500487626,3.3663026241911838,2.9889026669222364e-06,r,20.784836802492453,0.010736678028839909,24.304132295524546,2.7059408483479044,95234495.05294436,-19.599073388511847,244356502.918267
2011_OB60,60230.21124082722,2.7692539237126224,-11.336818754683701,1.8885685750983252,-11.934248788576074,6.970977193603396e-06,i,22.40709593542491,0.0587510516561361,23.832612079419338,0.657031475557552,5385630541.697746,11.259252504849114,5521199678.288825
2010_TU149,60230.22511697796,15.887030292262942,2.610528423589063,16.273171354359967,3.3588547881510387,3.2782590087595196e-06,i,20.593533842735273,0.014880156248962497,23.680811690699986,2.724014096488495,95194328.59600304,-19.52720180702979,244312966.76061445
2011_OB60,60232.01563611194,1.5110164143244003,-10.722867861970427,1.8552598430977665,-11.947383109775249,0.00010207021334445413,u,24.23779482632943,0.44163941895587727,23.23044869811886,0.6959101523870099,5387428066.619415,11.67423000862138,5521134217.72907
2011_OB60,60232.03908176997,1.5110164143244003,-10.722867861970427,1.8548225470014164,-11.947551470273275,1.8443103760989326e-05,g,22.997804045858523,0.08616957651814047,23.977465863133332,0.6964214395821332,5387451769.894827,11.729804884664038,5521133367.59093
2010_TU149,60232.16553098904,15.612829800611069,3.133869551969822,14.823713400334793,2.731780452678056,4.527236688091555e-06,g,21.327183625438092,0.019098574699456056,24.097641837182003,4.519289427547997,91989810.15269624,-18.608217724826737,240739761.87349287
2010_TU149,60232.20999081624,15.612829800611069,3.133869551969822,14.78842549414354,2.716961173446489,3.4003734350060224e-06,r,20.674759320537003,0.013469280614031479,23.891529890606524,4.566342416550671,91918587.24578512,-18.471749111068124,240657470.38869023
2010_TU149,60232.25628424726,15.612829800611069,3.133869551969822,14.751694325044904,2.7014957910555357,6.936399092013324e-06,y,20.532246061057833,0.052187161163452477,22.096082659053895,4.615487798548571,91844971.38282436,-18.33733726170388,240571764.24599808
2011_OB60,60234.10990013935,2.781692525280924,-12.375423100526417,1.817112247320088,-11.961965410996942,5.62857872168495e-05,u,24.238671240427106,0.3118174917813681,23.680686874241907,0.7410866122207516,5389676982.279101,12.866737234255774,5521058319.194402
2010_TU149,60234.11746604509,12.660652540934704,1.7700691849902304,13.27152613380085,2.062809218838017,1.9101956911409065e-05,u,22.701104771131842,0.10440166130106013,23.4570911061582,6.684876035375005,88945462.4600418,-17.629184300766845,237108968.2784704
2011_OB60,60234.13332404954,2.781692525280924,-12.375423100526417,1.816681171702284,-11.962124450127918,1.2404798597903825e-05,g,22.998681426131625,0.06762307759674616,24.260363220677494,0.7415966965191918,5389703091.896892,12.935457028240174,5521057470.755548
2010_TU149,60234.1415233523,12.660652540934704,1.7700691849902304,13.251275170360612,2.054334096181792,3.86910423719815e-06,g,21.219799826431597,0.015940614395805207,24.218664122251127,6.713339023812663,88908892.52426799,-17.556107380021793,237063989.51267904
2010_TU149,60235.14308282596,11.678456513921239,0.978251911680563,12.417464938797368,1.6963473774725129,3.081903750615364e-06,r,20.515826341514558,0.010514658985937139,24.0636040743623,7.906098065232527,87418617.14962308,-16.980591814636497,235186376.04013428
2010_TU149,60235.16681907245,11.678456513921239,0.978251911680563,12.396870392614938,1.687746470893071,3.6607279483383567e-06,i,20.32455091797844,0.015327653158159493,23.373671674940347,7.935333562809155,87383864.77864149,-16.906950389882557,235141757.06786406
2011_OB60,60235.20002498972,2.840502644540909,-13.109554915945491,1.797526565992449,-11.969261497954966,2.390231628045483e-05,y,22.399155708103212,0.20796795637833299,22.339683265640446,0.764528314269891,5390918127.306814,13.59090144743384,5521018845.015395
2010_TU149,60235.20678268989,11.678456513921239,0.978251911680563,12.36218159429892,1.67324835948386,8.159405903913748e-06,y,20.372411024801153,0.05191410382306752,21.94238137440451,7.984601630307604,87325696.20644516,-16.784667736464375,235066625.20398006
2011_OB60,60235.222825295765,2.840502644540909,-13.109554915945491,1.7971123567898857,-11.969411107004962,3.1840422366390906e-05,y,22.399166192038614,0.24234038975432465,22.153812363896503,0.7650217741196018,5390944960.839226,13.650463889939598,5521018019.617728
2011_OB60,60238.19810562847,2.4697205363666157,-13.277206151904853,1.7448698527981106,-11.988269367386902,1.602921957048492e-05,z,22.400583571179446,0.12149987446847198,22.97918320478761,0.8283674518506728,5394570081.28534,14.950050066911908,5520910399.507321
