,ccdVisitId,visitID,ra,decl,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec
63,221579063,221579,52.6957976,-41.5085482,52.5528268,-41.6255528,52.5425003,-41.3997404,52.8382651,-41.3913894,52.8496942,-41.617213
64,221579064,221579,52.684537,-41.2743204,52.542108,-41.3912805,52.5318425,-41.1656225,52.8264564,-41.157213,52.8378327,-41.3828811
65,221579065,221579,52.6732045,-41.0401229,52.5312436,-41.1569731,52.5211817,-40.9314943,52.814659,-40.9231369,52.8258235,-41.1486253
66,221579066,221579,53.0081062,-41.4995546,52.8657234,-41.6169749,52.8541673,-41.3911511,53.1499771,-41.3819883,53.1626313,-41.6078062
67,221579067,221579,52.9960263,-41.2649316,52.854093,-41.3822361,52.8427759,-41.1565641,53.1374506,-41.1474885,53.1498591,-41.3731583
68,221579068,221579,52.9837793,-41.0309226,52.8423699,-41.1481514,52.8311444,-40.922662,53.1246737,-40.9135663,53.1370005,-41.139053
69,221579069,221579,53.3211952,-41.4893618,53.1793838,-41.6071656,53.1666526,-41.381347,53.4624701,-41.3714118,53.4762969,-41.5972083
70,221579070,221579,53.3077752,-41.2551258,53.1664715,-41.3728485,53.1538895,-41.1471824,53.4485566,-41.1372751,53.4622435,-41.3629223
71,221579071,221579,53.2943753,-41.0212938,53.153527,-41.1388828,53.1411689,-40.9133964,53.4347043,-40.9035845,53.4481591,-41.1290568
72,221579072,221579,53.8247352,-44.2972336,53.6774,-44.4153312,53.6621039,-44.1898961,53.9715364,-44.178879,53.9879267,-44.4042872
73,221579073,221579,53.8081327,-44.0633315,53.6613278,-44.1815311,53.6460991,-43.9559129,53.9543984,-43.9448848,53.9707245,-44.1704763
74,221579074,221579,53.7916286,-43.8291532,53.6452882,-43.9473946,53.6302568,-43.7216132,53.9374307,-43.7106743,53.95355,-43.9364277
75,221579075,221579,54.1520473,-44.2850284,54.0053223,-44.4035709,53.9888999,-44.1781656,54.2982294,-44.1662394,54.3157392,-44.3916028
76,221579076,221579,54.1343837,-44.0511054,53.9881472,-44.1697144,53.9718751,-43.9441199,54.2800781,-43.9322616,54.2974349,-44.157811
77,221579077,221579,54.1170439,-43.8170384,53.9713431,-43.9357303,53.9551296,-43.7099791,54.2621999,-43.6981216,54.2794975,-43.9238273
78,221579078,221579,54.4792501,-44.2722,54.333162,-44.3911778,54.3156109,-44.165819,54.6247795,-44.1529798,54.6434186,-44.378287
79,221579079,221579,54.4604559,-44.0384007,54.3149037,-44.1574694,54.2974131,-43.9319262,54.6054531,-43.9191025,54.6240314,-44.1445907
80,221579080,221579,54.4419717,-43.8039909,54.296884,-43.9230888,54.27959,-43.6973843,54.5865102,-43.684673,54.6048888,-43.9103241
81,221579081,221579,53.7757299,-43.5933453,53.6299083,-43.7116502,53.6149802,-43.485741,53.9210123,-43.4748129,53.9370366,-43.7006958
82,221579082,221579,53.7591463,-43.3590207,53.6138104,-43.4773526,53.5990404,-43.2513386,53.9039463,-43.2404735,53.9198082,-43.466456
83,221579083,221579,53.7436243,-43.1245203,53.5988327,-43.2429044,53.5841204,-43.0168158,53.887885,-43.0059346,53.9036831,-43.2319864
84,221579084,221579,54.0991031,-43.5816148,53.9538588,-43.7003231,53.9378688,-43.474438,54.2438018,-43.462693,54.260884,-43.688531
85,221579085,221579,54.0816669,-43.3468872,53.936941,-43.4656363,53.9210457,-43.2396565,54.2258461,-43.2279317,54.2428332,-43.4538739
86,221579086,221579,54.0647704,-43.1122964,53.9205525,-43.2310677,53.9047751,-43.0050113,54.2084437,-42.9933296,54.2253171,-43.2193432
87,221579087,221579,54.4227063,-43.5687284,54.2781307,-43.6878723,54.2609452,-43.4620381,54.5667291,-43.4493756,54.5850038,-43.6751554
88,221579088,221579,54.404555,-43.3342779,54.2604738,-43.453443,54.2434242,-43.2275066,54.548075,-43.2149096,54.5662175,-43.4407932
89,221579089,221579,54.3860976,-43.0995401,54.2425795,-43.2187535,54.2255432,-42.9927468,54.5290573,-42.9801341,54.5471852,-43.2060858
