ObjID,H_r
2013 WC139,7.68262
2013 UQ15,6.30722
2014 TK115,8.31271
2014 UF241,6.57079
2014 UC225,7.67799
1999 RG215,7.29714
2014 UA277,7.78513
2014 UB277,8.0093
2013 VJ72,8.04374
2014 TL115,8.09958
2013 WJ123,7.81733
2013 WK123,7.73874
2012 WG37,6.74101
2013 XU33,7.63935
2014 QF562,8.00817
2007 TZ417,7.70175
2013 XL40,7.53973
2014 SQ350,7.14847
2014 VN43,7.68787
2013 XM40,8.16517
2014 XZ40,7.45637
2010 RD188,5.87441
2004 TY364,4.30131
2016 UL273,7.9729
2013 YD169,7.73042
2014 RM86,7.97086
2014 YK92,6.87834
2016 RA82,7.41939
2014 QG562,7.73168
2014 YX91,8.8158
2015 BP519,4.42119
2014 QH562,8.06609
2014 QF442,7.61506
2014 QJ562,7.79487
2014 QK562,8.38723
2014 SR350,6.60243
2014 QV510,7.84032
2016 QP134,6.24127
2014 OB394,6.28147
2004 PA108,7.0632
2014 OR394,7.1763
2014 OM394,6.13223
2014 QL562,7.1566
2014 QM562,8.35518
2016 SB106,6.90238
2014 QH563,8.26833
2014 TL95,7.84606
2014 QP562,7.69144
2016 RD82,8.09978
2014 QQ562,8.06732
2014 SM363,6.80921
2014 QR562,7.37408
2014 QV495,7.32737
2013 VQ25,7.82329
2014 QS562,7.15651
2014 QY510,7.92869
2014 QT562,7.56854
2014 QU562,8.39091
2014 QV562,8.0011
2014 QW510,7.56595
2014 QZ510,7.79508
2014 QW562,8.06944
2014 QX562,7.96188
2014 QY562,6.88761
2016 SB56,7.52151
2016 SJ58,8.85253
2016 QU89,8.04487
2016 SE58,7.54348
2016 SS46,8.87252
2016 SN56,7.2975
2016 SA59,7.82344
2012 VV113,7.54051
2014 QG442,6.73683
2014 UZ224,3.39897
2014 QZ562,7.76231
2014 ST373,5.45111
2014 QU510,6.88727
2014 QT495,8.78447
2014 QT510,8.16814
2016 RW82,6.6959
2014 RO86,7.76733
2014 RH70,7.6168
2014 RP86,7.74988
2014 RQ86,8.02298
2014 RR86,7.98569
2014 RS86,7.38288
2014 RT86,7.95718
2014 RU86,7.14739
2014 RV86,7.93449
2014 RO74,8.41864
2014 RN74,7.95366
2014 RW86,8.71788
2014 RX86,7.77621
2014 RM74,6.96623
2014 RY86,7.96906
2014 RJ70,7.19297
2014 UN225,5.51658
2014 QL441,6.60843
2008 UA332,6.36947
2014 WE556,7.84774
2014 SN363,7.25244
2014 SZ373,7.10578
2014 SN403,6.49286
2014 SX373,7.60285
2014 SQ403,6.46261
2014 SR373,7.61544
