ObjID,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB,FORMAT
2014 TB86,37.50177,0.1768137,19.1131541,50.236249,330.53953,58574.433710760095,57388.00078916584,BCOM
2013 RS124,34.76307,0.2498323,15.2761877,140.000427,259.17585,61188.54031075204,57388.00078916584,BCOM
2013 RN109,35.91628,0.1556878,32.3061336,20.936732,17.9205,63286.23106075569,57388.00078916584,BCOM
2013 WH123,40.6555,0.1210699,9.3280655,130.181303,181.07733,41803.55464140602,57388.00078916584,BCOM
2014 TD116,37.12571,0.2005587,9.2521812,150.682042,159.17568,42463.305094551055,57388.00078916584,BCOM
2014 TZ114,31.41626,0.0993832,6.3730832,118.587903,206.27045,48200.5308218356,57388.00078916584,BCOM
2013 RG157,35.39056,0.145222,14.4109698,180.959769,75.40942,26916.84411249204,57388.00078916584,BCOM
2015 SO20,33.17107,0.7986743,23.4104818,33.634243,354.7872,57992.09047072547,57388.00078916584,BCOM
2007 TB418,33.80992,0.4080995,6.540707,94.650854,42.11903,86739.17657075601,57388.00078916584,BCOM
2013 RZ108,30.32179,0.4523216,13.0317284,65.597109,333.54352,58484.693500740024,57388.00078916584,BCOM
2013 RJ124,41.21462,0.0605265,4.045144,111.110831,155.91005,26059.092202518706,57388.00078916584,BCOM
2013 RH157,37.07111,0.0398997,5.4267085,96.426936,141.56712,23454.851592510702,57388.00078916584,BCOM
2013 RJ157,31.77752,0.4284238,9.9969303,44.189166,241.00139,39085.55503180131,57388.00078916584,BCOM
2013 RK124,32.20081,0.1856216,7.0568772,92.473773,208.57633,42129.171522981815,57388.00078916584,BCOM
2013 RK157,35.99986,0.478334,28.8172498,185.834895,260.25844,70420.43884072399,57388.00078916584,BCOM
2014 QB442,36.63046,0.4477366,7.2914545,75.29308,269.32575,49546.88546814506,57388.00078916584,BCOM
2013 RL157,38.80317,0.2948992,20.8665081,33.857468,320.83671,51471.36139285181,57388.00078916584,BCOM
1999 RB216,33.64583,0.2923658,12.6879308,175.723863,208.67886,56776.39145760978,57388.00078916584,BCOM
2014 TA115,37.7943,0.1070935,6.9117078,84.559191,248.47767,45253.4423355363,57388.00078916584,BCOM
2013 RM157,36.85242,0.349617,14.1657225,176.54825,120.76654,36013.40771250294,57388.00078916584,BCOM
2016 SJ105,35.49301,0.0610762,21.3811442,171.079016,13.11351,90344.54537075947,57388.00078916584,BCOM
2013 RO157,31.97705,0.5578391,12.2266568,134.380021,247.38604,55844.5853659995,57388.00078916584,BCOM
2011 SO277,29.8034,0.0118481,9.6385529,113.524833,117.51488,31641.60014249933,57388.00078916584,BCOM
2013 RP157,37.12534,0.1249409,8.8025047,121.203892,279.23589,60877.85868073556,57388.00078916584,BCOM
2012 WD36,37.46991,0.5103651,23.6832443,177.316099,293.65618,73112.83835074554,57388.00078916584,BCOM
2012 VU113,36.44895,0.0770023,30.1248485,65.513224,314.58714,53820.30896446346,57388.00078916584,BCOM
2013 RU124,36.15713,0.2505825,31.6501082,188.235888,292.79535,74975.916250756,57388.00078916584,BCOM
2013 RQ157,33.69109,0.0726464,15.5286671,263.717902,156.64214,76665.37720072147,57388.00078916584,BCOM
2013 RR157,36.60703,0.0451164,32.1299173,174.675845,178.52406,61266.48991072885,57388.00078916584,BCOM
2013 RS157,37.73732,0.1736623,10.7774898,271.974221,145.71639,77029.40230072156,57388.00078916584,BCOM
2016 PN219,36.18148,0.1431823,12.2829376,284.467211,176.38763,88443.68000074287,57388.00078916584,BCOM
2013 RT157,39.42289,0.0632043,12.627779,194.271058,357.68033,17117.99369248101,57388.00078916584,BCOM
2013 RU157,35.35779,0.1827017,33.0498878,173.713618,320.03334,86231.94773073572,57388.00078916584,BCOM
2003 SS422,39.58693,0.7920103,16.7966644,151.059687,206.78838,54393.45826442566,57388.00078916584,BCOM
2016 QG135,39.53015,0.1648583,23.5676702,37.209563,88.16022,88985.08816074091,57388.00078916584,BCOM
2013 RV157,33.77397,0.5044135,11.5631102,185.994442,115.93731,47777.55817026079,57388.00078916584,BCOM
2013 RN124,38.20527,0.1573054,15.1769235,184.369972,77.99349,33883.647322485354,57388.00078916584,BCOM
2015 RT245,40.64747,0.0842364,0.9577863,330.384408,343.34842,43916.01614084555,57388.00078916584,BCOM
2013 RW157,34.79754,0.2554067,13.6200244,182.507994,122.16676,45965.54824711048,57388.00078916584,BCOM
2010 RO64,41.16653,0.1216131,17.0483715,60.850804,312.75786,56812.95574760189,57388.00078916584,BCOM
2016 RU81,40.71284,0.0588779,3.5528038,86.279386,336.3503,73672.97743073237,57388.00078916584,BCOM
2013 RX157,39.58529,0.0406374,12.806573,19.377798,88.5032,84638.27792072976,57388.00078916584,BCOM
2000 OL67,40.15012,0.1094937,1.9825321,322.663838,312.93876,36501.440012481886,57388.00078916584,BCOM
2013 RY157,38.98372,0.1064944,2.3299477,158.897204,292.3329,79385.71167075957,57388.00078916584,BCOM
2013 RT158,40.78525,0.0790169,1.0506724,130.678374,51.67215,111150.1986907584,57388.00078916584,BCOM
2013 RO109,42.48517,0.0351089,1.5236599,52.095889,328.05223,61895.39618075711,57388.00078916584,BCOM
2013 TF172,42.66387,0.0249496,2.8935278,126.994517,314.06162,78726.1887107506,57388.00078916584,BCOM
2013 RD109,29.7546,0.0810849,11.1194192,16.691895,332.70545,54433.80827443323,57388.00078916584,BCOM
2004 PW107,37.96629,0.1319051,2.8247886,198.177529,184.90176,61501.5938607597,57388.00078916584,BCOM
2014 VV39,43.33906,0.013674,1.6287555,136.325036,281.84844,71144.00263072494,57388.00078916584,BCOM
2010 RF188,32.97882,0.2947551,13.8485235,178.303854,332.75187,95102.98950075962,57388.00078916584,BCOM
2013 RA158,38.15249,0.1673696,18.9899087,179.397367,129.41923,43835.22595924689,57388.00078916584,BCOM
2013 RB158,36.88652,0.2057122,20.359978,2.320574,357.57689,56779.16634760939,57388.00078916584,BCOM
2013 RC158,28.33668,0.0572153,7.44983,81.556085,86.13976,81141.91027074342,57388.00078916584,BCOM
2013 RQ109,30.90015,0.151187,14.5381109,70.516609,335.90519,61063.68942074718,57388.00078916584,BCOM
2013 RA109,46.01116,0.9005962,12.3996791,104.800294,262.9132,54265.400724451036,57388.00078916584,BCOM
