ObjID,fieldMJD_TAI,fieldRA_deg,fieldDec_deg,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepthAtSource
387449,60378.34833,208.2165207,4.1568996,209.0255589,4.712916,1.54e-05,r,23.545,0.125,0.124,24.184
387449,60383.35121,208.6704424,4.8872052,208.5370246,5.2484048,3.81e-05,g,24.248,0.187,0.186,24.106
387449,60383.37916,208.6704424,4.8872052,208.533742,5.2513817,1.79e-05,r,23.448,0.134,0.133,24.036
387449,60400.23204,206.6164126,7.128562,206.0541221,7.0227943,2.43e-05,i,23.055,0.189,0.186,23.324
387449,60402.14782,206.1880626,8.5516011,205.7121231,7.2064524,1.42e-05,g,23.928,0.114,0.112,24.5
387449,60402.14827,205.0758992,5.9832784,205.7120274,7.206507,1.71e-05,g,23.707,0.123,0.121,24.401
387449,60402.17159,206.1880626,8.5516011,205.7076662,7.2087202,2.01e-05,r,23.483,0.138,0.136,23.779
387449,60402.17204,205.0758992,5.9832784,205.7075675,7.2087246,1.88e-05,r,23.458,0.133,0.131,23.83
387449,60402.23067,206.1880626,8.5516011,205.6965988,7.2142707,1.45e-05,i,23.152,0.136,0.133,23.718
387449,60402.25472,206.1880626,8.5516011,205.6920451,7.2165501,2.55e-05,z,23.082,0.225,0.22,23.103
387449,60406.24225,206.6211375,7.1342487,204.9546539,7.5773836,2.38e-05,g,23.941,0.141,0.14,24.207
387449,60406.2427,203.697998,7.108249,204.9545427,7.5774276,2.93e-05,g,23.707,0.152,0.151,24.111
387449,60410.26785,204.6843632,8.5256584,204.1886492,7.9079839,1.13e-05,r,23.262,0.097,0.095,24.195
387449,60410.29163,204.6843632,8.5256584,204.1839243,7.9098316,1.5e-05,i,23.151,0.134,0.131,23.718
387449,60412.21618,202.1961898,7.8606109,203.8149055,8.0541251,1.28e-05,r,23.21,0.106,0.104,24.102
387449,60412.21842,205.1318972,8.585858,203.8144602,8.0542985,1.21e-05,r,23.37,0.102,0.1,24.154
387449,60412.2402,202.1961898,7.8606109,203.8101585,8.0558188,2.41e-05,i,23.271,0.168,0.166,23.438
387449,60412.24244,205.1318972,8.585858,203.8096941,8.0560406,2.2e-05,i,23.262,0.159,0.156,23.51
387449,60434.11074,200.8476207,8.3288768,199.9454037,8.9398422,3.25e-05,r,23.472,0.184,0.184,23.767
