ObjID,FieldID,fieldMJD_TAI,fieldJD_TDB,Range_LTC_km,RangeRate_LTC_km_s,RA_deg,RARateCosDec_deg_day,Dec_deg,DecRate_deg_day,Obj_Sun_x_LTC_km,Obj_Sun_y_LTC_km,Obj_Sun_z_LTC_km,Obj_Sun_vx_LTC_km_s,Obj_Sun_vy_LTC_km_s,Obj_Sun_vz_LTC_km_s,Obs_Sun_x_km,Obs_Sun_y_km,Obs_Sun_z_km,Obs_Sun_vx_km_s,Obs_Sun_vy_km_s,Obs_Sun_vz_km_s,phase_deg
1992 SF17,107189,60379.25008294898,2460379.7504550177,334198808.9874882,-15.508587684590792,208.39899615242652,-0.1078920324294579,-12.024934275938932,0.0481523231051161,-433781179.3555813,-131374464.88202348,-59187024.773712166,3.582963940618604,-14.114888964143464,-5.3015249551087695,-146251690.36501592,24085639.499039955,10439068.289943043,-5.699539786381621,-27.41481258500528,-11.71220299392181,12.268459787769062
1992 SF17,107239,60379.273526391735,2460379.773899018,334167460.1819397,-15.44466621805137,208.3964051477995,-0.1082752231958695,-12.02380273279424,0.0483805584037009,-433773920.2291016,-131403056.56194052,-59197763.72531927,3.5841848834315124,-14.11451928457901,-5.301358396075285,-146263163.6950151,24030117.586823333,10415343.486509567,-5.629292563435528,-27.405005952250928,-11.71320383043087,12.261774892452015
1992 SF17,107293,60379.29854018832,2460379.798913018,334134157.20034105,-15.37440688299731,208.3936322528419,-0.1085442689494374,-12.02258942500574,0.0486304507242203,-433766172.2473887,-131433562.13929212,-59209221.46933021,3.585487543571304,-14.114124766949988,-5.301180652913479,-146275251.01675835,23970909.28873287,10390027.651058389,-5.556982629602945,-27.38524590881489,-11.71426345521695,12.254632574136116
1992 SF17,107343,60379.32285192187,2460379.823224018,334101936.5924206,-15.305500712774784,208.3909324779139,-0.1086643351083408,-12.021404195048929,0.0488751137574016,-433758639.3208965,-131463209.55586818,-59220356.831168056,3.58675354702685,-14.113741256493697,-5.301007875427293,-146286852.86501482,23913415.244078062,10365421.115525251,-5.490686740778672,-27.35734984609413,-11.715281927100794,12.247684482493366
1992 SF17,110116,60383.21469260357,2460383.7150650183,329185276.55918926,-14.082365350057003,207.94223148074,-0.1282238987756592,-11.81544167658332,0.0563928077909674,-432518506.4845688,-136198820.69474795,-60998241.73650498,3.788834791071271,-14.051326054222203,-5.272972335447305,-147871080.17977166,14782963.625883402,6405688.451306487,-3.714169467222815,-27.683539215348453,-11.827198656549369,11.114979214169226
1992 SF17,110166,60383.23884298534,2460383.739215018,329155958.8898766,-14.018823697983809,207.93906124913136,-0.1287379326552394,-11.814077128279932,0.0566152920064057,-432510599.177524,-136228140.59405118,-61009244.44181762,3.790085109056996,-14.05093243362243,-5.272796038342457,-147878753.1786435,14725200.459780663,6381009.60629561,-3.64059296866646,-27.681797601591864,-11.82785516688463,11.107569567952044
1992 SF17,110380,60383.343291344616,2460383.843664018,329030775.7788808,-13.72385288092342,207.92526539129344,-0.1294011586715842,-11.80811036836244,0.057639353267638,-432476369.9715569,-136354939.92503163,-61056826.9904401,3.7954922240667184,-14.049229126768806,-5.2720332222179165,-147910252.01307213,14475762.970959732,6274257.833666584,-3.3528014499215586,-27.573082096764804,-11.830601691424892,11.075422543299627
1992 SF17,110439,60383.37128533245,2460383.8716580183,328997674.5398602,-13.648602151819263,207.9215678938484,-0.1291438993679374,-11.80649311426292,0.0579010919331228,-432467187.7116414,-136388921.5374248,-61069578.69560111,3.7969412728166536,-14.04877236667165,-5.271828684421509,-147918286.6926488,14409134.72394631,6245642.534902776,-3.2926425282900365,-27.520254830000496,-11.83129192142387,11.066800266971416
1999 LZ3,110757,60384.11003201465,2460384.610405018,235672084.7099645,6.549459497214565,153.69880463406045,-0.196505897185024,15.072726238212605,0.1053997083401488,-352144483.2110352,113505566.87014753,66775385.87845808,-3.8443083149688406,-17.027256372061288,-5.295985771201886,-148138417.6343609,12674193.372632183,5490062.691981195,-3.489585687245249,-27.63754310993801,-11.84419992641572,9.54673588881314
1999 LZ3,110807,60384.13385294682,2460384.6342250183,235685633.8401775,6.617475048035622,153.6939559139776,-0.1965675379374429,15.075232212017672,0.1050084055349219,-352152392.9464809,113470524.12847514,66764486.371771485,-3.842498433139496,-17.027839839606422,-5.296329022491076,-148145536.1647957,12617276.869384998,5465686.204068094,-3.4273176218238426,-27.67235810709919,-11.844741632880153,9.55750697978426
1999 LZ3,110841,60384.15099817706,2460384.651371018,235695473.79828203,6.666837936059387,153.69046593205144,-0.19649432463473,15.077030252331284,0.1047244917375423,-352158084.1880791,113445299.08998027,66756640.304821886,-3.841195582027911,-17.02825973160787,-5.296576073948286,-148150578.391064,12576267.132632434,5448138.941103594,-3.379644571566361,-27.692595167039475,-11.845137119524429,9.565257389466524
1999 JO12,110844,60384.15234510899,2460384.6527180183,354317114.62496835,14.062030921592385,150.37547757302187,-0.1428131428389324,23.76492022019057,0.0488030920677145,-430036427.0701276,172865889.36298576,148231253.34829447,-8.287230586769246,-13.143201990348368,-2.9816599901235348,-148150971.4940674,12573044.16334079,5446760.3925023535,-3.3758136998751644,-27.694005460614527,-11.84516835038791,9.40564544785724
1999 LZ3,110891,60384.17512363386,2460384.675496018,235709442.4864287,6.73581629577192,153.68555944678744,-0.1962245189653849,15.079551932084534,0.1043277209004618,-352166088.68705124,113409805.56369822,66745600.00641967,-3.8393623265661327,-17.028850396529116,-5.29692364673786,-148157550.34327886,12518521.120375248,5423448.352412226,-3.309493746171443,-27.71374539814675,-11.845699211192514,9.576155373839862
1999 JO12,110894,60384.17647416459,2460384.6768470183,354346498.53346515,14.127090650307045,150.37171543487344,-0.1425580924216796,23.766092887376782,0.048398390190142,-430053701.95008206,172838489.9868315,148225037.26734912,-8.286198063846886,-13.14361723202174,-2.9820160040541084,-148157936.41458547,12515286.139864529,5422065.644461375,-3.305482048235454,-27.71466795663352,-11.845730829412563,9.412492803348814
1992 SF17,113420,60390.32038221607,2460390.820755019,321539344.34556067,-10.85281131734607,206.9264026434977,-0.1619173507244607,-11.360350388075997,0.0711362386806137,-430079791.8275368,-144789497.56094906,-64219445.747504205,4.154759424928282,-13.932175089876608,-5.219871174926686,-149015598.7427999,-2034602.177785745,-882969.9066360386,0.2423969237578337,-27.71565305911246,-11.887780380764982,8.840876985748615
1992 SF17,113470,60390.34474055205,2460390.8451130185,321516575.70338506,-10.78573214241515,206.92238250017596,-0.1616818334539607,-11.358614949308093,0.0713563564878848,-430071046.3777056,-144818818.87476093,-64230431.32990243,4.156007009933152,-13.931755188117355,-5.219684925735256,-149015030.63486558,-2092883.416997725,-907988.1166356336,0.2963233176527715,-27.66972156389388,-11.887782690239243,8.832530198824967
1999 LZ3,116037,60394.10335063107,2460394.603723019,243139698.0925188,10.518635347156836,152.0160981458828,-0.1418033682805989,15.97220484651972,0.0744924375621249,-355132993.7810194,98702593.00823386,62141755.26940949,-3.0750574400530697,-17.258089628006182,-5.436218551394259,-148710199.60420772,-10979970.142312285,-4763238.366979767,1.6983548402297826,-27.68067350192795,-11.848012122248267,13.720590284107212
