index ObjID FieldID FieldMJD AstRange(km) AstRangeRate(km/s) AstRA(deg) AstRARate(deg/day) AstDec(deg) AstDecRate(deg/day) Ast-Sun(J2000x)(km) Ast-Sun(J2000y)(km) Ast-Sun(J2000z)(km) Ast-Sun(J2000vx)(km/s) Ast-Sun(J2000vy)(km/s) Ast-Sun(J2000vz)(km/s) Obs-Sun(J2000x)(km) Obs-Sun(J2000y)(km) Obs-Sun(J2000z)(km) Obs-Sun(J2000vx)(km/s) Obs-Sun(J2000vy)(km/s) Obs-Sun(J2000vz)(km/s) Sun-Ast-Obs(deg) V V(H=0)
4530 6 1736892 63268.364671 2716017279.388975 -22.81 205.208927 -0.011021 -0.182086 0.009858 -2564623291.803 -1063924889.31 31625305.086 -2.782 -5.186 -3.18 -107289915.659 92876091.968 40256821.822 -20.829 -20.365 -8.661 2.804997 32.932 12.932
4531 6 1736911 63268.374606 2715997711.361505 -22.783 205.208817 -0.011035 -0.181988 0.009861 -2564625679.611 -1063929341.257 31622575.205 -2.782 -5.186 -3.18 -107307782.373 92858612.992 40249386.469 -20.801 -20.361 -8.663 2.804783 32.931 12.931
4532 6 1737546 63269.317593 2714152969.23561 -22.72 205.198755 -0.011783 -0.172566 0.010121 -2564852271.903 -1064351887.064 31363460.672 -2.78 -5.186 -3.18 -108999182.108 91219655.412 39538082.828 -20.572 -20.697 -8.798 2.784795 32.929 12.929
4533 6 1737589 63269.33771 2714113524.095192 -22.668 205.198517 -0.011834 -0.172363 0.010127 -2564857104.805 -1064360901.05 31357932.787 -2.78 -5.186 -3.18 -109034888.633 91183676.986 39522788.096 -20.514 -20.7 -8.801 2.784346 32.929 12.929
4534 6 1738316 63270.315265 2712218478.738508 -22.502 205.187235 -0.01264 -0.162332 0.010394 -2565091889.596 -1064798887.471 31089319.146 -2.779 -5.185 -3.18 -110755791.145 89456203.725 38773633.193 -20.18 -21.022 -8.939 2.762771 32.926 12.926
4535 6 1738358 63270.334393 2712181331.294349 -22.453 205.186993 -0.012689 -0.162133 0.010399 -2565096482.471 -1064807457.026 31084063.203 -2.779 -5.185 -3.18 -110789094.86 89421458.93 38758858.792 -20.124 -21.025 -8.941 2.762328 32.926 12.926
4536 6 1739210 63272.379788 2708276244.11727 -21.853 205.160645 -0.014469 -0.140303 0.010943 -2565587365.076 -1065723722.433 30522024.962 -2.776 -5.184 -3.18 -114281549.799 85717332.646 37153924.958 -19.177 -21.633 -9.221 2.71444 32.921 12.921
4529 6 1736862 63268.349852 2716046510.686189 -22.85 205.20909 -0.010994 -0.182232 0.009854 -2564619730.026 -1063918248.59 31629377.091 -2.782 -5.186 -3.18 -107263220.2 92902169.847 40267910.288 -20.871 -20.369 -8.659 2.805315 32.932 12.932
4537 6 1740722 63274.370778 2704558798.661168 -21.364 205.131634 -0.016144 -0.11801 0.011449 -2566064714.293 -1066615411.456 29974933.806 -2.773 -5.183 -3.18 -117539559.883 82006503.452 35545413.973 -18.358 -22.236 -9.48 2.664467 32.915 12.915
4539 6 1740748 63274.383795 2704534791.096567 -21.328 205.131423 -0.016154 -0.117861 0.011453 -2566067833.679 -1066621240.705 29971356.887 -2.773 -5.183 -3.18 -117560186.735 81981500.79 35534751.427 -18.323 -22.225 -9.481 2.66412 32.915 12.915
4540 6 1740749 63274.384244 2704533964.491706 -21.327 205.131416 -0.016154 -0.117856 0.011453 -2566067941.177 -1066621441.588 29971233.621 -2.773 -5.183 -3.18 -117560896.868 81980639.393 35534383.946 -18.322 -22.225 -9.481 2.664108 32.915 12.915
4541 6 1741390 63275.317589 2702822009.446292 -21.24 205.116709 -0.016892 -0.10706 0.011681 -2566291551.949 -1067039381.484 29714764.887 -2.772 -5.182 -3.18 -119038919.048 80207901.824 34765113.379 -18.079 -22.544 -9.598 2.639581 32.912 12.912
4542 6 1741436 63275.338918 2702782920.411081 -21.183 205.116348 -0.016935 -0.10681 0.011687 -2566296660.686 -1067048931.723 29708904.062 -2.772 -5.182 -3.18 -119072177.254 80166359.945 34747423.842 -18.017 -22.541 -9.601 2.638997 32.912 12.912
4543 6 1742165 63276.311545 2701020742.107221 -20.978 205.100206 -0.017706 -0.09533 0.01192 -2566529570.238 -1067484413.027 29441640.868 -2.771 -5.182 -3.18 -120576885.067 78294267.243 33935651.588 -17.66 -22.825 -9.719 2.612632 32.909 12.909
4544 6 1742212 63276.334023 2700980059.960116 -20.918 205.099807 -0.017754 -0.095062 0.011926 -2566534951.421 -1067494476.384 29435464.44 -2.771 -5.181 -3.18 -120611117.778 78249941.572 33916773.832 -17.594 -22.822 -9.722 2.611998 32.909 12.909
4545 6 1743627 63280.362259 2693930000.049628 -19.643 205.024601 -0.021009 -0.045161 0.012835 -2567498367.218 -1069297548.627 28328561.151 -2.765 -5.179 -3.18 -126458376.422 70254366.363 30451942.524 -15.723 -23.846 -10.181 2.494611 32.897 12.897
4538 6 1740723 63274.371227 2704557969.215578 -21.363 205.131626 -0.016145 -0.118005 0.01145 -2566064821.978 -1066615612.688 29974810.327 -2.773 -5.183 -3.18 -117540272.6 82005640.137 35545045.924 -18.356 -22.236 -9.48 2.664455 32.915 12.915
4508 6 1609033 63022.045155 2596674743.897843 28.843 198.404283 -0.023959 3.470718 -0.002989 -2501726998.885 -952025595.98 99238325.999 -3.134 -5.33 -3.172 -42384865.987 -133707197.275 -57960259.979 28.234 -8.113 -3.353 2.775943 32.754 12.754
4528 6 1736806 63268.323385 2716098841.553321 -22.919 205.20938 -0.010931 -0.182493 0.009845 -2564613368.727 -1063906388.42 31636649.579 -2.782 -5.186 -3.18 -107215406.963 92948748.046 40287706.77 -20.948 -20.367 -8.655 2.805883 32.932 12.932
4526 6 1736079 63267.32851 2718063384.7703 -23.111 205.219159 -0.010075 -0.19215 0.009565 -2564374187.518 -1063460540.039 31910021.365 -2.783 -5.187 -3.18 -105397780.662 94650411.779 41025441.372 -21.318 -20.031 -8.51 2.826125 32.934 12.934
4510 6 1609135 63022.091162 2596789647.674571 28.97 198.403182 -0.023892 3.47058 -0.00302 -2501739456.229 -952046780.855 99225716.919 -3.134 -5.33 -3.172 -42272411.962 -133739311.547 -57973571.567 28.344 -8.04 -3.345 2.777263 32.754 12.754
4511 6 1611166 63038.073643 2639082321.997344 32.252 198.133118 -0.011083 3.373658 -0.009097 -2506050476.048 -959399738.924 94844868.924 -3.11 -5.321 -3.173 -2381887.485 -139472645.522 -60458319.425 29.594 -0.817 -0.23 3.119193 32.816 12.816
4512 6 1611216 63038.09749 2639148830.346329 32.307 198.132855 -0.011006 3.373441 -0.009111 -2506056883.712 -959410700.276 94838331.636 -3.11 -5.321 -3.173 -2320870.648 -139474270.934 -60458787.948 29.634 -0.76 -0.225 3.119553 32.816 12.816
