 ObjID FieldID FieldMJD AstRange(km) AstRangeRate(km/s) AstRA(deg) AstRARate(deg/day) AstDec(deg) AstDecRate(deg/day) Ast-Sun(J2000x)(km) Ast-Sun(J2000y)(km) Ast-Sun(J2000z)(km) Ast-Sun(J2000vx)(km/s) Ast-Sun(J2000vy)(km/s) Ast-Sun(J2000vz)(km/s) Obs-Sun(J2000x)(km) Obs-Sun(J2000y)(km) Obs-Sun(J2000z)(km) Obs-Sun(J2000vx)(km/s) Obs-Sun(J2000vy)(km/s) Obs-Sun(J2000vz)(km/s) Sun-Ast-Obs(deg) V V(H=0
59 S1000000a 687402 61429.138656 376315186.59 17.44 73.309559 -0.058534 -1.830707 0.050689 26714634.16 472920831.178 36801677.644 -16.405 0.267 -3.286 -81308204.263 112643622.656 48823603.657 -25.706 -15.27 -6.58 14.838401 19.54 5.34
60 S1000000a 894816 61769.320619 393817194.335 -22.515 164.037713 0.059181 -17.582575 -0.103034 -381360770.152 236918119.898 -61023282.708 -8.456 -15.118 -2.703 -20416770.015 133676144.369 57941007.918 -30.238 -4.221 -1.691 18.341701 19.654 5.454
61 S1000000a 894838 61769.332335 393794417.661 -22.487 164.038405 0.058995 -17.583782 -0.102901 -381369329.791 236902814.698 -61026019.437 -8.455 -15.119 -2.703 -20447365.99 133671859.702 57939294.809 -30.213 -4.244 -1.694 18.340845 19.654 5.454
62 S1000000a 897478 61773.283672 386228488.529 -22.131 164.252727 0.039576 -17.970833 -0.094141 -384224280.492 231721359.793 -61943876.273 -8.269 -15.233 -2.673 -30627123.481 132014807.04 57220279.418 -29.914 -6.079 -2.515 18.034121 19.601 5.401
63 S1000000a 897521 61773.304607 386188501.111 -22.083 164.253551 0.039144 -17.972801 -0.093902 -384239237.031 231693803.534 -61948711.956 -8.268 -15.234 -2.673 -30681195.52 132003768.602 57215726.397 -29.873 -6.125 -2.519 18.032243 19.601 5.401
64 S1000000a 901987 61780.286672 373248905.349 -21.066 164.43645 0.002922 -18.561288 -0.07548 -389126790.877 222443940.408 -63545108.109 -7.934 -15.43 -2.619 -48266785.11 127507817.097 55267060.018 -28.862 -9.385 -3.93 17.323606 19.502 5.302
65 S1000000a 902035 61780.310927 373204819.554 -21.007 164.436516 0.00252 -18.563115 -0.075163 -389143418.467 222411602.806 -63550596.536 -7.933 -15.43 -2.619 -48327213.292 127488100.221 55258819.247 -28.807 -9.431 -3.935 17.320679 19.502 5.302
66 S1000000a 902571 61781.239134 371534876.382 -20.997 164.442015 -0.001262 -18.631194 -0.073149 -389777900.512 221173033.236 -63760330.322 -7.889 -15.456 -2.611 -50613272.386 126744598.915 54935866.81 -28.771 -9.736 -4.117 17.210493 19.489 5.289
67 S1000000a 902621 61781.263141 371491375.962 -20.946 164.441977 -0.001877 -18.632947 -0.072865 -389794263.291 221140971.639 -63765747.128 -7.887 -15.456 -2.611 -50672905.764 126724342.868 54927321.42 -28.728 -9.794 -4.122 17.207515 19.488 5.288
68 S1000000a 907363 61789.27659 357645989.419 -19.284 164.296651 -0.044904 -19.110176 -0.046914 -395121356.907 210364144.802 -65551624.292 -7.499 -15.67 -2.547 -69798126.913 118899377.107 51536561.967 -26.938 -13.39 -5.658 16.095844 19.367 5.167
69 S1000000a 907413 61789.300831 357605664.698 -19.222 164.295558 -0.045239 -19.111309 -0.046557 -395137062.019 210331321.48 -65556958.819 -7.497 -15.671 -2.547 -69854485.444 118871288.607 51524707.149 -26.879 -13.43 -5.663 16.091963 19.367 5.167
70 S1000000a 907416 61789.302348 357603146.65 -19.218 164.295489 -0.045256 -19.11138 -0.046535 -395138044.319 210329268.28 -65557292.489 -7.497 -15.671 -2.547 -69858006.551 118869528.939 51523965.284 -26.875 -13.433 -5.663 16.09172 19.367 5.167
71 S1000000a 907470 61789.32919 357558656.818 -19.148 164.294271 -0.045459 -19.112623 -0.046131 -395155431.802 210292920.795 -65563198.994 -7.496 -15.672 -2.547 -69920252.751 118838334.633 51510826.147 -26.804 -13.466 -5.668 16.087412 19.366 5.166
72 S1000000a 908557 61791.28534 354359092.659 -18.783 164.207032 -0.055658 -19.196168 -0.039612 -396414342.233 207639748.839 -65992267.505 -7.4 -15.722 -2.531 -74391000.075 116559003.998 50522233.602 -26.391 -14.263 -6.029 15.773414 19.336 5.136
73 S1000000a 908607 61791.309709 354319613.571 -18.719 164.205672 -0.055914 -19.197129 -0.039241 -396429922.77 207606643.3 -65997595.558 -7.399 -15.723 -2.53 -74446498.383 116528936.27 50509535.802 -26.328 -14.298 -6.033 15.769301 19.335 5.135
74 S1000000a 909426 61792.356813 352639931.66 -18.344 164.150187 -0.061228 -19.23608 -0.034817 -397097030.076 206182873.052 -66226140.536 -7.348 -15.75 -2.522 -76803832.812 115248189.452 49955053.898 -25.92 -14.759 -6.224 15.594175 19.319 5.119
75 S1000000a 909452 61792.370231 352618684.72 -18.31 164.149366 -0.061152 -19.236546 -0.034616 -397105548.417 206164612.579 -66229064.153 -7.347 -15.75 -2.522 -76833860.902 115231076.094 49947837.023 -25.883 -14.764 -6.226 15.591846 19.318 5.118
76 S1000000a 910153 61793.359968 351052745.705 -18.077 164.091934 -0.066389 -19.269596 -0.030999 -397731768.856 204816589.251 -66444362.282 -7.298 -15.776 -2.513 -79037492.365 113985615.512 49407785.221 -25.625 -15.174 -6.404 15.422317 19.303 5.103
77 S1000000a 910850 61794.344133 349517110.318 -17.851 164.029849 -0.071591 -19.298802 -0.027405 -398350328.696 203474025.445 -66657755.296 -7.25 -15.8 -2.505 -81204886.443 112712802.354 48855779.653 -25.375 -15.576 -6.579 15.24981 19.287 5.087
